  release  -  production
2022-02-23 - 2025-04-23  🏷️ DT0000836148__2  - mbom 2022-03-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-23 - 2025-04-23  🏷️ DT0000836148__3  - mbom 2022-03-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-03-02 - 2025-02-23  🏷️ GL00001373860__1  - mbom 2022-03-12, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-02 - 2025-02-23  🏷️ GL00001373860__2  - mbom 2022-03-12, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-02 - 2025-02-23  🏷️ GL00001373860__3  - mbom 2022-03-12, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001289310__1  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001289310__2  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001289310__3  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001289366__1  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001289366__2  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001289366__3  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001301703__1  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001301703__2  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001301703__3  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001301713__1  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-03-08 - 2025-02-23  🏷️ GL00001301713__2  - mbom 2022-03-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
